epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,414.19,1.00264,0.51852,0.87722,0.97454,0.95598,0.97963,0.72507,0.91024,0.48188,0.86871,0.00319375,0.00319375,0.00319375
57,421.381,0.98774,0.51965,0.87732,0.9759,0.95297,0.97849,0.73056,0.91143,0.47796,0.86691,0.00307,0.00307,0.00307
58,428.957,0.99663,0.51463,0.87431,0.97653,0.95933,0.98384,0.72626,0.93439,0.48676,0.86742,0.00294625,0.00294625,0.00294625
59,436.184,0.98237,0.50568,0.8703,0.97798,0.95988,0.9814,0.7261,0.93895,0.48031,0.86985,0.0028225,0.0028225,0.0028225
60,443.41,0.98473,0.51058,0.86971,0.9722,0.95533,0.98229,0.68942,1.08356,0.52288,0.88574,0.00269875,0.00269875,0.00269875
61,450.62,0.98029,0.51727,0.87668,0.9674,0.95485,0.98286,0.70844,1.00561,0.49243,0.87701,0.002575,0.002575,0.002575
62,457.874,0.97533,0.5053,0.87175,0.97578,0.95437,0.98111,0.70876,0.98523,0.49091,0.87434,0.00245125,0.00245125,0.00245125
63,465.149,0.97807,0.50508,0.87132,0.9725,0.95341,0.9814,0.72197,0.94946,0.48499,0.87073,0.0023275,0.0023275,0.0023275
64,472.379,0.96851,0.50249,0.87049,0.97832,0.95362,0.98371,0.722,0.95765,0.48948,0.86957,0.00220375,0.00220375,0.00220375
65,479.621,0.97307,0.50756,0.87395,0.97604,0.95965,0.98501,0.73572,0.90725,0.47275,0.86376,0.00208,0.00208,0.00208
66,487.117,0.97212,0.5008,0.87178,0.97524,0.95869,0.98382,0.74226,0.89286,0.4653,0.86296,0.00195625,0.00195625,0.00195625
67,494.621,0.95825,0.49613,0.87047,0.97307,0.9611,0.98533,0.73196,0.92522,0.47431,0.86577,0.0018325,0.0018325,0.0018325
68,501.835,0.94727,0.49236,0.86252,0.97235,0.96282,0.98466,0.73437,0.9185,0.4743,0.86388,0.00170875,0.00170875,0.00170875
69,508.99,0.95446,0.49281,0.86599,0.97323,0.96039,0.98323,0.73642,0.89718,0.47353,0.86144,0.001585,0.001585,0.001585
70,516.168,0.94922,0.49158,0.8711,0.97318,0.95725,0.98079,0.73557,0.89871,0.46604,0.8622,0.00146125,0.00146125,0.00146125
71,523.417,0.93875,0.48964,0.86628,0.97596,0.95821,0.98309,0.73826,0.89313,0.47365,0.8606,0.0013375,0.0013375,0.0013375
72,530.653,0.9509,0.49361,0.86247,0.97599,0.9611,0.98499,0.7412,0.88688,0.46379,0.86203,0.00121375,0.00121375,0.00121375
73,537.885,0.94415,0.48793,0.86219,0.97799,0.96254,0.98438,0.74207,0.88856,0.45899,0.86066,0.00109,0.00109,0.00109
74,545.09,0.9538,0.4974,0.86582,0.97422,0.96013,0.98479,0.73526,0.92298,0.46917,0.86402,0.00096625,0.00096625,0.00096625
75,552.299,0.94597,0.49182,0.86028,0.97694,0.95634,0.98317,0.73632,0.90345,0.46724,0.86189,0.0008425,0.0008425,0.0008425
76,559.49,0.93213,0.4831,0.86538,0.97737,0.95436,0.98168,0.73868,0.90785,0.46507,0.86323,0.00071875,0.00071875,0.00071875
77,566.673,0.92581,0.48396,0.86686,0.97679,0.95773,0.98275,0.7398,0.89579,0.46525,0.85954,0.000595,0.000595,0.000595
78,573.854,0.9306,0.48663,0.86155,0.97761,0.95869,0.98348,0.74145,0.88763,0.46326,0.85881,0.00047125,0.00047125,0.00047125
79,581.06,0.92387,0.4843,0.86338,0.97468,0.96158,0.98282,0.74063,0.88891,0.46379,0.85936,0.0003475,0.0003475,0.0003475
80,588.33,0.9215,0.47949,0.86134,0.97607,0.96015,0.98293,0.74216,0.88111,0.46404,0.85866,0.00022375,0.00022375,0.00022375
