track_id,frame_id,timestamp,event_type,value
2,751,25.033333333333335,direction_change,114.880466642142
2,761,25.366666666666667,direction_change,123.80526188052872
2,764,25.466666666666665,direction_change,154.46919400791822
2,774,25.8,direction_change,74.1178420921335
2,779,25.966666666666665,direction_change,67.65930627744306
2,783,26.1,direction_change,132.50502763038045
2,787,26.233333333333334,direction_change,119.06614361526002
2,788,26.266666666666666,direction_change,179.1859168091755
2,796,26.533333333333335,direction_change,131.18429601654447
2,815,27.166666666666668,direction_change,108.10830930365684
2,824,27.466666666666665,direction_change,78.69144797797316
2,825,27.5,direction_change,70.56151192170388
2,62,2.066666666666667,stop_loot,60.0
2,295,9.833333333333334,stop_loot,60.0
3,10,0.3333333333333333,direction_change,180.0
3,11,0.36666666666666664,direction_change,180.0
3,20,0.6666666666666666,direction_change,180.0
3,24,0.8,direction_change,180.0
3,26,0.8666666666666667,direction_change,180.0
3,35,1.1666666666666667,direction_change,180.0
3,42,1.4,direction_change,180.0
3,215,7.166666666666667,direction_change,176.6687687551309
3,264,8.8,direction_change,171.16786762899653
3,270,9.0,direction_change,112.36498067330277
3,305,10.166666666666666,direction_change,61.50196941981265
3,309,10.3,direction_change,173.03087057415698
3,318,10.6,direction_change,137.76583688996112
3,347,11.566666666666666,direction_change,179.61367316332706
3,362,12.066666666666666,direction_change,176.04839758179415
3,369,12.3,direction_change,179.2698355722475
3,418,13.933333333333334,direction_change,61.371427550540496
3,424,14.133333333333333,direction_change,62.87997323230965
3,440,14.666666666666666,direction_change,128.4408699160626
3,450,15.0,direction_change,179.9929451588847
3,460,15.333333333333334,direction_change,179.99995944799863
3,465,15.5,direction_change,179.99999599544665
3,475,15.833333333333334,direction_change,179.99999608751764
3,482,16.066666666666666,direction_change,179.99999290802347
3,572,19.066666666666666,direction_change,180.0
3,579,19.3,direction_change,180.0
3,612,20.4,direction_change,180.0
3,619,20.633333333333333,direction_change,180.0
3,646,21.533333333333335,direction_change,154.2629455552216
3,656,21.866666666666667,direction_change,179.75804456006168
3,660,22.0,direction_change,179.7379963909823
3,680,22.666666666666668,direction_change,62.53152144899099
3,688,22.933333333333334,direction_change,63.9551733320206
3,689,22.966666666666665,direction_change,97.53335309365372
3,691,23.033333333333335,direction_change,65.82957040019186
3,696,23.2,direction_change,121.70256488770886
3,712,23.733333333333334,direction_change,175.15477176428013
3,715,23.833333333333332,direction_change,174.53965649187617
3,720,24.0,direction_change,179.19683620091638
3,725,24.166666666666668,direction_change,105.98962099976741
3,732,24.4,direction_change,145.31725261037664
3,738,24.6,direction_change,81.87822301333624
3,747,24.9,direction_change,159.73315887631358
3,755,25.166666666666668,direction_change,179.7079213237182
3,757,25.233333333333334,direction_change,179.96329118291428
3,763,25.433333333333334,direction_change,150.53251374770318
3,769,25.633333333333333,direction_change,60.2720449085451
3,777,25.9,direction_change,174.0429573215595
3,780,26.0,direction_change,179.62941164305246
3,782,26.066666666666666,direction_change,172.86702619150478
3,783,26.1,direction_change,179.36440739544003
3,784,26.133333333333333,direction_change,81.21626001661636
3,790,26.333333333333332,direction_change,74.51444721033512
3,796,26.533333333333335,direction_change,170.23447795429678
3,800,26.666666666666668,direction_change,78.41883825542355
3,810,27.0,direction_change,61.2276844429587
3,819,27.3,direction_change,178.78380615364264
3,825,27.5,direction_change,101.90270712585057
3,836,27.866666666666667,direction_change,116.33163783767381
3,841,28.033333333333335,direction_change,140.23124904095383
3,850,28.333333333333332,direction_change,179.95099535921412
